N.,Genre,Name,Language,Country,Streaming HTTP,ERROR,Video codec,Width,Height,Frame rate,Audio codec,Sample rate,Audio ch.
15,,Canale 10,Italian,IT,http://67.231.248.131:1935/live/PTVnews/chunklist_w1281891626.m3u8,Unknown error,NULL,0,0,0,NULL,0,0
16,,Canale 2 Altamura,Italian,IT,https://59d7d6f47d7fc.streamlock.net/canale2/canale2/chunklist_w811855890.m3u8?fluxustv.m3u8,,h264,720,576,25,aac,48000,2
17,,Canale 21 Campania,Italian,IT,http://live.sloode.com:1935/canale21/live/playlist.m3u8,,h264,854,480,25,aac,48000,2
18,,Canale 21 Lazio,Italian,IT,http://live.sloode.com:1935/canale21/live2/playlist.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
19,,Canale 7,Italian,IT,http://wms.shared.streamshow.it/canale7/canale7/playlist.m3u8,,h264,854,480,50,aac,48000,2
20,,Canale 7,Italian,IT,http://wms.shared.streamshow.it:1935/canale7/canale7/live.m3u8,,h264,854,480,50,aac,48000,2
21,,Canale 8,Italian,IT,http://wms.shared.streamshow.it:80/canale8/canale8/playlist.m3u8,,h264,854,480,50,aac,48000,2
22,,Canale 85 Puglia,Italian,IT,http://wms.shared.streamshow.it/canale85/mp4:canale85/playlist.m3u8,,h264,854,480,25,aac,48000,2
23,,Canale 85 Puglia,Italian,IT,https://59d7d6f47d7fc.streamlock.net/redirect/canale85/canale85?type=m3u8,,h264,854,480,25,aac,48000,2
24,,Canale Italia 83,Italian,IT,http://ac024fe.streamcloud.it/service/media-provider/live/4847/playlist.m3u8?accessToken=51c3544ac33a24b012ba69bf6349db78,Invalid data found when processing input,NULL,0,0,0,NULL,0,0
25,,Carina TV,Italian,IT,http://wms.shared.streamshow.it/carinatv/carinatv/playlist.m3u8,,h264,854,480,50,aac,48000,2
26,,Carina TV,Italian,IT,http://wms.shared.streamshow.it/carinatv/mp4:carinatv/playlist.m3u8,,h264,854,480,50,aac,48000,2
27,Music,Company TV,Italian,IT,http://wma10.fluidstream.net/CompanyTV/_definst_/mp4:livestream_720p/playlist.m3u8,,h264,1280,720,25,aac,48000,2
28,Music,Company TV,Italian,IT,http://wma10.fluidstream.net/CompanyTV/smil:CompanyTV.smil/playlist.m3u8,,h264,640,360,25,aac,48000,2
29,Music,DeeJay TV,Italian,IT,http://deejay_tv-lh.akamaihd.net/i/DeejayTv_1@129866/index_600_av-p.m3u8,,h264,640,360,25,aac,44100,2
30,Music,DeeJay TV,Italian,IT,http://deejay_tv-lh.akamaihd.net/i/DeejayTv_1@129866/master.m3u8,,h264,640,360,25,aac,44100,2
31,,DMAX,Italian,IT,https://sbshdlu3-lh.akamaihd.net/i/sbshdlive_4@99403/master.m3u8,,h264,1280,720,25,aac,32000,2
32,,Donna TV,Italian,IT,http://wms.shared.streamshow.it/okitalia/okitalia/playlist.m3u8?fluxustv.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
33,,Elive TV Brescia,Italian,IT,https://59d7d6f47d7fc.streamlock.net/elivebresciatv/elivebresciatv/playlist.m3u8?fluxustv.m3u8,,h264,1280,720,25,aac,48000,2
34,,Esperia TV,Italian,IT,http://wms.shared.streamshow.it/esperiatv/esperiatv/playlist.m3u8,,h264,854,480,50,aac,48000,2
35,,Esperia TV,Italian,IT,https://59d7d6f47d7fc.streamlock.net/esperiatv/esperiatv/playlist.m3u8?fluxustv.m3u8,,h264,854,480,50,aac,48000,2
36,,ETV Marche,Italian,IT,http://live.sloode.com:1935/etvmarche_live/_definst_/etvmarche/playlist.m3u8,,h264,1080,576,25,aac,48000,1
37,,ETV Marche,Italian,IT,http://live.streamcaster.net:1935/etvmarche_live/etvmarche/livestream.m3u8,,h264,1080,576,25,aac,48000,1
38,,ETV Marche,Italian,IT,http://vs2.streamcaster.net:1935/etvmarche_live/etvmarche/hasbahca.m3u8,,h264,1080,576,25,aac,48000,1
39,,Euro Indie Music Chart TV,Italian,IT,http://178.33.224.197:1935/euroindiemusic/euroindiemusic/playlist.m3u8,,h264,1280,720,25,aac,48000,2
40,,FM Italia TV,Italian,IT,http://flash8.streaming.xdevel.com/fmitalia/fmitalia/playlist.m3u8,,h264,720,404,25,aac,44100,2
41,,Gold TV Roma,Italian,IT,http://151.0.207.99:1935/GoldTV/GOLD_17/playlist.m3u8?fluxustv.m3u8,,h264,1280,720,25,aac,48000,2
42,History,History Lab,Italian,IT,http://wma10.fluidstream.net/HistoryLab/livestream/playlist.m3u8,,h264,480,270,25,aac,44100,2
43,History,History Lab,Italian,IT,http://wma10.fluidstream.net/HistoryLab/livestream/playlist.m3u8?ANTONYGTV,,h264,480,270,25,aac,44100,2
44,History,History Lab,Italian,IT,http://wma10.fluidstream.net:1935/HistoryLab/livestream/playlist.m3u8,,h264,480,270,25,aac,44100,2
45,,Icaro TV,Italian,IT,https://59d7d6f47d7fc.streamlock.net/icarotv/icarotv/playlist.m3u8?fluxustv.m3u8,,h264,854,480,50,aac,48000,2
46,Sport,IRC Sport TV,Italian,IT,http://178.32.140.155/irctv/mp4:irctv/playlist.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
47,Sport,IRC Sport TV,Italian,IT,http://wms.shared.streamshow.it/irctv/mp4:irctv/playlist.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
48,,Italia 141,Italian,IT,http://streamcloud-idc.azureedge.net/ac024_live/iphone1/chunklist.m3u8?accessToken=51c3544ac33a24b012ba69bf6349db78,Invalid data found when processing input,NULL,0,0,0,NULL,0,0
49,,Italia 2 TV,Italian,IT,http://wms.shared.streamshow.it/italia2/mp4:italia2/playlist.m3u8?fluxustv.m3u8,,h264,854,480,50,aac,48000,2
50,,Julie Italia,Italian,IT,https://59ef7ad665d1d.streamlock.net:1443/julieitalia/_definst_/julieitalia/playlist.m3u8?fluxustv.m3u8,,h264,640,360,25,aac,44100,2
51,,Kiss Kiss Napoli Tv,Italian,IT,https://59253971be783.streamlock.net/KKTVNapoli/livestream/playlist.m3u8,,h264,676,380,25,aac,44100,2
52,Music,Kiss Kiss Tv,Italian,IT,https://59253971be783.streamlock.net/KKTV01/livestream/playlist.m3u8,,h264,676,380,25,aac,44100,2
53,,La Tr3,Italian,IT,https://59ef7ad665d1d.streamlock.net:1443/eslife/_definst_/eslife/playlist.m3u8?fluxustv.m3u8,,h264,1280,720,25,aac,44100,2
54,,La7,Italian,IT,http://la7-vh.akamaihd.net/i/content/entry/data/0/299/0_b7o9lvba_0_kyyr8vxz_1.mp4/master.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
55,,LaC TV,Italian,IT,http://StreamCdnC3.mainstreaming.tv:80/cdn/live/100197/SOrBDPy/playlist.m3u8,,h264,320,180,25,aac,44100,2
56,,Lucania TV,Italian,IT,https://59d7d6f47d7fc.streamlock.net/lucaniatv/lucaniatv/playlist.m3u8,,h264,854,480,50,aac,48000,2
57,Music,m2o TV,Italian,IT,http://m2otv-lh.akamaihd.net/i/m2oTv_1@186074/index_600_av-b.m3u8,,h264,640,360,25,aac,44100,2
58,Music,m2o TV,Italian,IT,http://m2otv-lh.akamaihd.net/i/m2oTv_1@186074/index_600_av-b.m3u8?iptvgratis?chile.m3u8,,h264,640,360,25,aac,44100,2
59,Music,m2o TV,Italian,IT,http://m2otv-lh.akamaihd.net/i/m2oTv_1@186074/index_600_av-b.m3u8?sd=10&rebase=on?GrupoTopIptv,,h264,640,360,25,aac,44100,2
60,Music,m2o TV,Italian,IT,http://m2otv-lh.akamaihd.net/i/m2oTv_1@186074/index_600_av-b.m3u8?www.tecnotv.info?sd=10&rebase=on,,h264,640,360,25,aac,44100,2
61,Music,m2o TV,Italian,IT,http://m2otv-lh.akamaihd.net/i/m2oTv_1@186074/index_600_av-p.m3u8,,h264,640,360,25,aac,44100,2
62,Music,m2o TV,Italian,IT,http://m2otv-lh.akamaihd.net/i/m2oTv_1@186074/master.m3u8,,h264,640,360,25,aac,44100,2
63,,Medjugorje Italia TV,Italian,IT,http://94.23.67.20:1935/medjugorjeitaliatv/medjugorjeitaliatv/chunklist.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
64,Auto,MotorTrend,Italian,IT,https://sbshdlu5-lh.akamaihd.net/i/sbshdl_1@810993/master.m3u8,,h264,1280,720,25,aac,32000,2
65,,Nove,Italian,IT,https://sbshdlu5-lh.akamaihd.net/i/sbshdl_3@810997/master.m3u8,,h264,1280,720,25,aac,32000,2
66,,Ora TV,Italian,IT,http://dcunilive36-lh.akamaihd.net/i/dclive_1@662093/master.m3u8?fluxustv.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
67,,Orler TV,Italian,IT,https://w1.mediastreaming.it/orlertv/livestream/playlist.m3u8?fluxustv.m3u8,,h264,720,420,25,mp3,44100,2
68,,Otto FM TV,Italian,IT,http://217.182.192.240:8080/hls/ottofmtv/1_2/index.m3u8?fluxustv.m3u8,,h264,720,576,25,aac,48000,2
69,,Otto FM TV,Italian,IT,http://217.182.192.240:8080/hls/ottofmtv/index.m3u8,,h264,720,576,25,aac,48000,2
70,,Padre Pio TV,Italian,IT,https://56972e8bd3345.streamlock.net/TRPP_live/smil:bcffcc98-ac2f-4b73-b0a5-ad1bfb96d845_all.smil/chunklist_w1418321773_b227000_slita.m3u8,,h264,440,248,25,aac,48000,2
71,,Paradise TV,Italian,IT,https://59ef7ad665d1d.streamlock.net:1443/paradisetv/_definst_/paradisetv/playlist.m3u8?fluxustv.m3u8,,h264,1280,720,25,aac,44100,2
72,,Parole di Vita,Italian,IT,http://dcunilive28-lh.akamaihd.net/i/dclive_1@624452/master.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
73,,Partenope TV,Italian,IT,https://live.puglia.net:8080/live/partenopetv/index.m3u8,,h264,1280,720,25,aac,48000,2
74,,Pescara TV,Italian,IT,http://193.70.81.40:1935/pescaratv/_definst_/pescaratv/chunklist.m3u8?fluxustv.m3u8,,h264,1920,1080,24,aac,48000,2
75,,Prima Tivvu,Italian,IT,https://sb.top-ix.org/streamtech/tvlive1/chunklist_w921110763.m3u8?fluxustv.m3u8,,h264,480,272,25,aac,48000,2
76,,Prima Tivvu,Italian,IT,https://sb.top-ix.org/streamtech/tvlive1/playlist.m3u8?fluxustv.m3u8,,h264,480,272,25,aac,48000,2
77,,Prima TV,Italian,IT,http://flash2.streaming.xdevel.com/primatv/primatv/playlist.m3u8?fluxustv.m3u8,,h264,720,404,25,aac,48000,2
78,,Primocanale Liguria,Italian,IT,http://msh0203.stream.seeweb.it/live/stream1.sdp/playlist.m3u8,,h264,1200,576,25,aac,44100,2
79,,Quarto Canale Flegreo,Italian,IT,http://live-fs.mariatvcdn.com/dialogos/171e41deedf405f10c7dd6311387fb43.sdp/index.m3u8?fluxustv.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
80,,QVC,Italian,IT,http://qvcitalia.mmdlive.lldns.net/qvcitalia/66f8359ae9c046bb8aa92144511b450a/manifest.m3u8,,h264,1280,720,25,aac,44100,2
81,,Radio 105,Italian,IT,http://fms.105.net:1935/live/105Test1/livestream.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
82,,Radio 105,Italian,IT,http://fms.105.net:1935/live/105Test1/playlist.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
83,,Radio 51,Italian,IT,https://59d7d6f47d7fc.streamlock.net/canale51/canale51/playlist.m3u8,,h264,854,480,25,aac,48000,2
84,,Radio Birikina TV,Italian,IT,https://56b50ada2d659.streamlock.net/RadioBirikinaTV/livestream/playlist.m3u8?fluxustv.m3u8,,h264,1280,720,25,mp3,44100,2
85,,Radio Bruno,Italian,IT,http://37.48.83.35/radiobrunotv/radiobrunotv/playlist.m3u8,Unknown error,NULL,0,0,0,NULL,0,0
86,,Radio Bruno TV,Italian,IT,http://37.48.83.34:80/radiobrunotv/radiobrunotv/playlist.m3u8,Unknown error,NULL,0,0,0,NULL,0,0
87,,Radio Capital TV,Italian,IT,http://capital-live-tv-01-hls.akamai.media.kataweb.it/i/CapitalTv_1@183098/index_2_av-p.m3u8?sd=10&rebase=on,,h264,400,224,15,aac,44100,2
88,,Radio Capital TV,Italian,IT,http://capital-live-tv-01-hls.akamai.media.kataweb.it/i/CapitalTv_1@183098/master.m3u8,,h264,640,360,25,aac,44100,2
89,,Radio Capital TV,Italian,IT,http://capital_tv-lh.akamaihd.net/i/CapitalTv_1@183098/index_5_av-b.m3u8,,h264,640,360,25,aac,44100,2
90,,Radio Capital TV,Italian,IT,http://capital_tv-lh.akamaihd.net/i/CapitalTv_1@183098/index_5_av-p.m3u8,,h264,640,360,25,aac,44100,2
91,,Radio Capital TV,Italian,IT,http://capital_tv-lh.akamaihd.net/i/CapitalTv_1@183098/master.m3u8,,h264,640,360,25,aac,44100,2
92,,Radio Freccia,Italian,IT,https://rtl-radio-stream-thron.akamaized.net/live-video/video2/ngrp:video2/chunklist_b2296000.m3u8?fluxustv.m3u8,,h264,1920,1080,25,aac,48000,2
93,,Radio Iglesias,Italian,IT,http://wms.shared.streamshow.it/visualradio/mp4:visualradio/chunklist.m3u8,,h264,480,384,25,aac,48000,2
94,,Radio Iglesias,Italian,IT,http://wms.shared.streamshow.it/visualradio/mp4:visualradio/playlist.m3u8,,h264,480,384,25,aac,48000,2
95,,Radio Italia TV,Italian,IT,http://radioitaliatv-lh.akamaihd.net/i/radioitaliatv_1@329645/index_720x480_av-p.m3u8,,h264,720,480,25,aac,32000,2
96,Music,Radio Italia Vision,Italian,IT,http://livetr.teleromagna.it/lifestyle/live/playlist.m3u8,Server returned 403 Forbidden (access denied),NULL,0,0,0,NULL,0,0
97,,Radio Lombardia TV,Italian,IT,https://flash7.xdevel.com/radiolombardiatv/radiolombardiatv/playlist.m3u8?fluxustv.m3u8,,h264,1280,720,25,aac,44100,2
98,Music,Radio Monte Carlo TV,Italian,IT,http://bit.ly/2GeFyWc,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
99,Music,Radio Monte Carlo TV,Italian,IT,http://fms.105.net:1935/live/rmc1/.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
100,Music,Radio Monte Carlo TV,Italian,IT,http://tv.105.net/live/rmc1/playlist.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
101,Music,Radio Monte Carlo TV,Italian,IT,http://tv.105.net/live/rmc3/playlist.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
102,Music,Radio Monte Carlo TV,Italian,IT,http://wow01.105.net/live/rmc1/playlist.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
103,Music,Radio Monte Carlo TV,Italian,IT,http://wow01.105.net/live/rmc1/playlist.m3u8?JoCaRoIPTV.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
104,Music,Radio Monte Carlo TV,Italian,IT,http://wow01.105.net:1935/live/rmc1/livestream.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
105,Music,Radio Number One TV,Italian,IT,http://wma02.fluidstream.net/RN1TV/livestream/playlist.m3u8,,h264,1280,720,25,aac,44100,2
106,Music,Radio Piter Pan TV,Italian,IT,https://58d921499d3d3.streamlock.net/RadioPiterpanTV/livestream/playlist.m3u8?fluxustv.m3u8,,h264,1280,720,25,mp3,44100,2
107,,Radio Siena TV,Italian,IT,http://wz2.newradio.it:1935/9018/9018/chunklist_w229229850.m3u8?fluxustv.m3u8,,h264,640,360,25,aac,44100,2
108,Music,Radio Taormina,Italian,IT,http://flash8.streaming.xdevel.com/taorminatv/taorminatv/playlist.m3u8,,h264,1280,720,25,aac,48000,2
109,Music,Radio Tivù Azzurra,Italian,IT,http://188.165.224.142:1935/radiotivuazzurralive/radiotivuazzurralive/playlist.m3u8,Unknown error,NULL,0,0,0,NULL,0,0
110,Music,Radio Zeta TV,Italian,IT,https://rtl-radio-stream.thron.com/live-video/video3/ngrp:video3/playlist.m3u8?fluxustv.m3u8,,h264,320,180,25,aac,24000,2
111,Music,Radionorba TV,Italian,IT,http://flash5.streaming.xdevel.com/radionorbatv/smil:radionorbatv.smil/playlist.m3u8,,h264,300,168,25,aac,44100,2
112,,Rai 3,Italian,IT,http://wzstreaming.rai.it/TVlive/liveStream/chunklist_w823540263.m3u8,,h264,1024,576,25,aac,48000,2
113,,Rai 3,Italian,IT,http://wzstreaming.rai.it/TVlive/liveStream/playlist.m3u8,,h264,1024,576,25,aac,48000,2
114,,Rai 4,Italian,IT,http://b2everyrai-lh.akamaihd.net/i/rai4_1@181951/index_1800_av-p.m3u8,,h264,928,522,25,aac,48000,2
115,,Rai 4,Italian,IT,http://b2everyrai-lh.akamaihd.net/i/rai4_1@181951/master.m3u8,,h264,928,522,25,aac,48000,2
116,,Rai 5,Italian,IT,http://b2everyrai-lh.akamaihd.net/i/rai5_1@182695/index_1800_av-p.m3u8?sd=10&rebase=on,,h264,1024,576,25,aac,44100,2
117,,Rai 5,Italian,IT,http://b2everyrai-lh.akamaihd.net:80/i/rai5_1@182695/master.m3u8,,h264,1024,576,25,aac,44100,2
118,,Rai Gulp,Italian,IT,http://b2everyrai-lh.akamaihd.net/i/raigulp_1@66350/master.m3u8,,h264,1024,576,25,aac,44100,2
119,Movies,Rai Movie,Italian,IT,http://b2everyrai-lh.akamaihd.net/i/raimovie_1@67348/master.m3u8,,h264,1024,576,25,aac,44100,2
120,News,Rai News 24,Italian,IT,http://mediapolisevent.rai.it/relinker/relinkerServlet.htm?cont=0000001,,h264,512,288,25,aac,44100,2
121,News,Rai News 24,Italian,IT,https://rainews1-live.akamaized.net/hls/live/598326/rainews1/rainews_1800/chunklist.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
122,Movies,Rai Premium,Italian,IT,http://b2everyrai-lh.akamaihd.net/i/raipremium_1@181837/master.m3u8,,h264,1024,576,25,aac,44100,2
123,Sport,Rai Sport,Italian,IT,http://everyrai-lh.akamaihd.net/i/raisportjolly1_1@177967/index_400_av-p.m3u8,,h264,512,288,25,aac,44100,2
124,,Rai YoYo,Italian,IT,http://b2everyrai-lh.akamaihd.net/i/raiyoyo_1@191405/master.m3u8,,h264,1024,576,25,aac,44100,2
125,,RDS Social TV,Italian,IT,https://stream.rdstv.radio/out/v1/ec85f72b87f04555aa41d616d5be41dc/index_7.m3u8,,h264,1280,720,30,aac,48000,2
126,,ReggioTV,Italian,IT,https://59d7d6f47d7fc.streamlock.net/reggiotv/reggiotv/playlist.m3u8?fluxustv.m3u8,,h264,854,480,25,aac,48000,2
127,,Retesole Lazio,Italian,IT,http://5c389faa13be3.streamlock.net:1935/8058/8058/playlist.m3u8?fluxustv.m3u8,,h264,320,240,25,mp3,44100,1
128,,Reteveneta,Italian,IT,https://59d7d6f47d7fc.streamlock.net/reteveneta/reteveneta/chunklist_w1193659434.m3u8?fluxustv.m3u8,,h264,854,480,50,aac,48000,2
129,,RMK TV Sciacca,Italian,IT,http://vod1.kronopress.com:1935/tmk_live/5123-CA5C-9EBE-428A/playlist.m3u8?fluxustv.m3u8,,h264,1280,720,25,aac,48000,2
130,,RMM TV,Italian,IT,http://wma02.fluidstream.net/StudioRMM/livestream/playlist.m3u8?fluxustv.m3u8,,h264,1080,576,25,aac,44100,2
131,,RTC Quarta Rete,Italian,IT,http://msh0232.stream.seeweb.it:1935/live/stream012.sdp/playlist.m3u8?fluxustv.m3u8,,h264,1024,576,25,aac,48000,2
132,,RTC Telecalabria,Italian,IT,http://fl1.mediastreaming.it:1935/calabriachannel/livestream/playlist.m3u8,,h264,870,486,25,mp3,44100,2
133,,RTC Telecalabria,Italian,IT,https://w1.mediastreaming.it/calabriachannel/livestream/playlist.m3u8?fluxustv.m3u8,,h264,870,486,25,mp3,44100,2
134,,RTL 102.5 TV,Italian,IT,http://rtl-radio-stream-thron.akamaized.net/live-video/video1/ngrp:video1/chunklist.m3u8,,h264,320,180,25,aac,24000,2
135,,RTL 102.5 TV,Italian,IT,http://rtl-radio-stream-thron.akamaized.net/live-video/video1/video1/chunklist_b2296000.m3u8,,h264,1280,720,25,aac,48000,2
136,,RTL 102.5 TV,Italian,IT,https://rtl-radio-stream-thron.akamaized.net/live-video/video1/ngrp:video1/chunklist_b1196000.m3u8?fluxustv.m3u8,,h264,720,406,25,aac,24000,2
137,,RTP,Italian,IT,https://flash2.xdevel.com/rtptv/rtptv/playlist.m3u8?fluxustv.m3u8,,h264,720,576,50,aac,48000,2
138,,RTR 99 TV,Italian,IT,https://57068da1deb21.streamlock.net/radiortr99/radiortr99/playlist.m3u8?fluxustv.m3u8,,h264,720,576,25,aac,48000,2
139,,RTTR,Italian,IT,http://wma07.fluidstream.net:1935/RTTRlive/livestream/playlist.m3u8,,h264,720,400,30,aac,44100,2
140,Sport,RTV Sport (San Marino),Italian,IT,https://dlxommsyqo2g0.cloudfront.net/smrtv-ch02/_definst_/smil:ch-02.smil/playlist.m3u8?fluxustv.m3u8,,h264,426,240,25,aac,44100,2
141,,RTV38,Italian,IT,https://open.http.mp.streamamg.com/p/3001301/sp/300130100/playManifest/entryId/0_seco7tg8/format/applehttp/protocol/https/uiConfId/30026353/a.m3u8,,h264,854,480,25,mp3,44100,2
142,,Sardegna Uno,Italian,IT,https://59d7d6f47d7fc.streamlock.net/sardegnauno/sardegnauno/playlist.m3u8?fluxustv.m3u8,,h264,854,480,25,aac,48000,2
143,,Senato della Repubblica,Italian,IT,http://senato.spectar.tv:1935/senato-live/ngrp:webtv1_all/chunklist_b1155072_DVR.m3u8,,h264,720,576,25,aac,44100,2
144,Music,Skyline TV Radio & Soul,Italian,IT,http://dcunilive35-lh.akamaihd.net/i/dclive_1@668625/master.m3u8,,h264,1280,720,25,aac,48000,2
145,,Sophia TV,Italian,IT,https://www.onairport.live/sophiatv-it-live/livestream_low/chunklist_w217998957.m3u8?fluxustv.m3u8,,h264,960,540,25,aac,44100,2
146,Sport,SporTVL,Italian,IT,http://dcunilive36-lh.akamaihd.net/i/dclive_1@662153/index_150_av-p.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
147,Sport,SporTVL,Italian,IT,https://dcunilive36-lh.akamaihd.net/i/dclive_1@662153/index_150_av-p.m3u8?fluxustv.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
148,Sport,SporTVL,Italian,IT,https://dcunilive36-lh.akamaihd.net/i/dclive_1@662153/master.m3u8?fluxustv.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
149,,Studio 100,Italian,IT,http://wms.shared.streamshow.it/studio100ta/studio100ta/playlist.m3u8,,h264,854,480,50,aac,48000,2
150,,Studio 100,Italian,IT,http://wms.shared.streamshow.it:1935/studio100ta/studio100ta/playlist.m3u8,,h264,854,480,50,aac,48000,2
151,,Super J TV,Italian,IT,https://54627d4fc5996.streamlock.net/SuperJtv/SuperJtv/playlist.m3u8?fluxustv.m3u8,,h264,1240,720,25,mp3,44100,1
152,,Super TV Brescia,Italian,IT,http://wms.shared.streamshow.it:1935/supertv/supertv/live.m3u8,,h264,720,576,50,aac,48000,2
153,,Super TV Oristano,Italian,IT,http://193.70.81.40:1935/supertvoristano/_definst_/supertvoristano/playlist.m3u8,,h264,1920,1080,25,aac,48000,2
154,,Supersix 24,Italian,IT,https://dcunilive35-lh.akamaihd.net/i/dclive_1@677812/master.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
155,,Supersix Lombardia,Italian,IT,https://dcunilive47-lh.akamaihd.net/i/dclive_1@739267/master.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
156,,System Radio TV,Italian,IT,http://str03.fluidstream.net/RadioSystemTV/livestream/playlist.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
157,,Tele 8,Italian,IT,http://vs2.streamcaster.net:1935/tele8_live/tele8/chunklist.m3u8?fluxustv.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
158,,Tele Arena,Italian,IT,http://wma07.fluidstream.net:1935/TeleArena/livestream/playlist.m3u8,,h264,854,480,25,aac,44100,2
159,,Tele One,Italian,IT,http://live.kronopress.com:1935/mediaone_live/teleone/playlist.m3u8?fluxustv.m3u8,,h264,1280,720,25,aac,48000,2
160,,TeleBoario,Italian,IT,http://flash7.streaming.xdevel.com/teleboario/teleboario/playlist.m3u8,,h264,640,360,25,aac,44100,2
161,,Telechiara,Italian,IT,http://fms.tvavicenza.it:1935/telechiara/diretta/playlist.m3u8,,h264,704,396,25,aac,48000,2
162,,Telecitta,Italian,IT,http://213.187.12.18/live/tv1.m3u8?fluxustv.m3u8,,h264,960,542,25,aac,44100,2
163,,Telecitta,Italian,IT,http://213.187.12.18:80/live/tv1.m3u8,,h264,960,542,25,aac,44100,2
164,,Telecolor Lombardia,Italian,IT,https://cdn.mainstreaming.tv/live/324149/hlbAWtl/playlist.m3u8,,h264,312,180,25,aac,44100,2
165,,Telefoggia,Italian,IT,https://59d7d6f47d7fc.streamlock.net/telefoggia/telefoggia/playlist.m3u8,,h264,854,480,25,aac,48000,2
166,,Telefriuli,Italian,IT,http://or01.top-ix.org:1935/streamtech/telefriuli/playlist.m3u8,,h264,1280,720,30,aac,48000,2
167,,Telegenova,Italian,IT,http://dcunilive36-lh.akamaihd.net/i/dclive_1@662062/master.m3u8?fluxustv.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
